[2025-02-13 14:16:57.888474] Port 687 is CLOSED
[2025-02-13 14:16:57.888993] Port 640 is CLOSED
[2025-02-13 14:16:57.889804] Port 732 is CLOSED
[2025-02-13 14:16:57.890872] Port 703 is CLOSED
[2025-02-13 14:16:57.891550] Port 709 is CLOSED
[2025-02-13 14:16:57.893056] Port 691 is CLOSED
[2025-02-13 14:16:57.893056] Port 708 is CLOSED
[2025-02-13 14:16:57.899311] Port 693 is CLOSED
[2025-02-13 14:16:57.900741] Port 696 is CLOSED
[2025-02-13 14:16:57.900741] Port 719 is CLOSED
[2025-02-13 14:16:57.901970] Port 753 is CLOSED
[2025-02-13 14:16:57.903203] Port 649 is CLOSED
[2025-02-13 14:16:57.904608] Port 720 is CLOSED
[2025-02-13 14:16:57.904608] Port 668 is CLOSED
[2025-02-13 14:16:57.907520] Port 770 is CLOSED
[2025-02-13 14:16:57.907520] Port 722 is CLOSED
[2025-02-13 14:16:57.907520] Port 791 is CLOSED
[2025-02-13 14:16:57.909028] Port 716 is CLOSED
[2025-02-13 14:16:57.912199] Port 781 is CLOSED
[2025-02-13 14:16:57.912199] Port 594 is CLOSED
[2025-02-13 14:16:57.912199] Port 805 is CLOSED
[2025-02-13 14:16:57.912199] Port 725 is CLOSED
[2025-02-13 14:16:57.912199] Port 762 is CLOSED
[2025-02-13 14:16:57.912199] Port 800 is CLOSED
[2025-02-13 14:16:57.915882] Port 785 is CLOSED
[2025-02-13 14:16:57.915882] Port 769 is CLOSED
[2025-02-13 14:16:57.918332] Port 744 is CLOSED
[2025-02-13 14:16:57.919819] Port 666 is CLOSED
[2025-02-13 14:16:57.920884] Port 723 is CLOSED
[2025-02-13 14:16:57.920884] Port 652 is CLOSED
[2025-02-13 14:16:57.920884] Port 864 is CLOSED
[2025-02-13 14:16:57.920884] Port 783 is CLOSED
[2025-02-13 14:16:57.923109] Port 775 is CLOSED
[2025-02-13 14:16:57.923109] Port 809 is CLOSED
[2025-02-13 14:16:57.924028] Port 814 is CLOSED
[2025-02-13 14:16:57.928268] Port 817 is CLOSED
[2025-02-13 14:16:57.940219] Port 778 is CLOSED
[2025-02-13 14:16:57.942638] Port 792 is CLOSED
[2025-02-13 14:16:57.997129] Port 886 is CLOSED
